Candidate,Education,PC_CODE
Arvind Tiwari,Doctorate,5
Asaduddin Owaisi,Graduate Professional,9
Asarpat Singh,12th Pass,5
"Asath, M.M.",5th Pass,33
Asfak Ali,8th Pass,24
Asha Ram Kasyap,10th Pass,4
Asha Singh,10th Pass,11
Ashapak Shaikh,8th Pass,34
Ashatai Abhyankar Amravati,Graduate,7
Ashfaq Ahmed Madaki,Post Graduate,1
Ashiq Hussain Ganie,8th Pass,1
Ashis Kumar Das,Graduate,26
Ashish,10th Pass,11
Ashish,Graduate,5
Ashish Bhushan Pathak,Post Graduate,4
Ashish Khetan,Post Graduate,4
Ashish Kumar,Graduate Professional,3
Ashish Ranjan Sinha,Graduate,29
Ashok,Graduate Professional,28
Ashok,5th Pass,64
Ashok,12th Pass,22
Ashok Babarao (Ambhore) Dudhgaonkar,12th Pass,17
Ashok Bhagoji Thorat,Not Given,39
Ashok Bhardwaj,Graduate Professional,9
Ashok Bisi,Graduate Professional,1
Ashok Chandna,Graduate,23
Ashok Dhondiba Sonwane,8th Pass,39
Ashok Dnanu Mane(Bhau),12th Pass,44
Ashok Gajapathi Raju Pusapati,10th Pass,20
Ashok Kisan Lokhande,8th Pass,29
Ashok Ku Bhagat,Literate,11
Ashok Kumar,Post Graduate,38
Ashok Kumar,Literate,39
Ashok Kumar,Graduate,9
Ashok Kumar,10th Pass,6
Ashok Kumar,5th Pass,24
Ashok Kumar,Graduate,79
Ashok Kumar,10th Pass,19
Ashok Kumar,12th Pass,11
Ashok Kumar,10th Pass,21
Ashok Kumar,Post Graduate,32
Ashok Kumar,10th Pass,10
Ashok Kumar,12th Pass,49
Ashok Kumar,10th Pass,18
Ashok Kumar Doharey,Graduate,41
Ashok Kumar Jain,Graduate Professional,24
Ashok Kumar Jha,10th Pass,15
Ashok Kumar Kannaoujiya,Graduate Professional,80
Ashok Kumar Masih,5th Pass,15
Ashok Kumar Panda,Graduate,3
Ashok Kumar Sharma,Graduate,6
Ashok Kumar Shaw,12th Pass,22
Ashok Kumar Singh,10th Pass,15
Ashok Kumar Vashishth,10th Pass,6
Ashok Kumar.A,8th Pass,9
Ashok Kumar.K,10th Pass,9
Ashok Kundu,Doctorate,16
Ashok Mahadeorao Nete,12th Pass,12
Ashok Mittal,10th Pass,1
Ashok Pandey,Graduate Professional,35
Ashok Paswan,Graduate,23
Ashok Paswan Advocate,Post Graduate,43
Ashok Pawar,12th Pass,19
Ashok Pradhan,Graduate Professional,17
Ashok Ram,12th Pass,32
Ashok Ram,10th Pass,13
Ashok Sahu,Post Graduate,17
Ashok Shankar Jadhav,Graduate Professional,25
Ashok Shirpati Khandebharad,Graduate,36
Ashok Shukla Senani,Graduate,39
Ashok Singh,Post Graduate,55
Ashok Singh,Graduate,3
Ashok Tanwar,Doctorate,3
Ashok Tarachand Patil,Literate,3
Ashok Tryambak Ingale,5th Pass,4
Ashok Vithoba Khandale,Graduate,13
Ashok Vitthal Sonwane,Graduate,18
Ashok Waman Gaikwad,12th Pass,45
Ashok Yadav,Others,44
Ashoke Biswas,12th Pass,23
Ashraf,10th Pass,20
Ashraf Ali,Graduate Professional,28
Ashutosh,Post Graduate,1
Ashutosh Mudgil,8th Pass,1
Ashwamedh Devi,5th Pass,22
Ashwani Malhotra,10th Pass,2
Ashweng J. Rengma,10th Pass,3
Ashwini Kumar,Graduate,5
Ashwini Kumar Choubey,Graduate,33
Asif Jeelani,Post Graduate,3
Asif Khan,10th Pass,15
Asif Khan,5th Pass,3
